GenotypeID,Yield_NE,Yield_MI,predicted_yield
H84,643.062422891942,357.610927213679,539.319581674819
H91,570.143905748648,204.133132503759,528.46637671991
H95,388.121320455649,162.898390124675,446.580765349977
H99,399.506780344211,131.12986813878,473.633578201789
HB8229,477.301059850045,353.173033854044,515.417465154788
Hi26,139.016431283086,186.945950280254,294.026476903411
HP301,238.535732668498,96.1525932685214,333.634854560236
HP72-11,239.408176486044,130.261946964903,386.285814505752
Huanyao,627.376430423611,185.224600880916,437.773401152195
Huobai,705.279921221686,108.256408226572,520.147297181508
Hy,544.563273579487,287.403442916064,493.165510367891
I29,293.053426946053,102.807202527867,341.156625171192
IA2132,206.476475095015,115.427368205347,328.778691192686
Ia453,322.874662388437,156.071663996178,489.01487377092
Ia5125B,425.846846595537,126.197548108346,571.545803885125
IBB14,632.05436397608,231.450337242921,574.856919031111
IBB15,570.004908429661,239.49291882006,539.485413437688
IBC2,574.695964693912,260.860744338047,629.06429227
ICI_193,721.589702484296,330.399693355981,584.600669724399
ICI_441,604.737191420993,340.682616271809,629.792236232391
ICI_581,548.820676818247,264.998722585236,593.361027683603
ICI_740,745.038048966063,315.376743812757,602.093195101238
ICI_893,543.052551952345,303.149833257729,423.42376636077
ICI_986,546.691408051795,309.893881649028,316.079872039599
IDS28,76.5073408732172,132.364497490907,292.266747131161
IDS69,237.533393546008,135.879697803891,354.903288055613
IDS91,312.129193092683,146.842950766074,378.670849363707
Il14H,397.086926972541,135.693283927298,432.548572209065
Il778d,343.927784736182,234.615147293621,379.733000327847
INB_101LFY/LFY_(A632_X_M16_S5),309.289575024117,213.860153106876,383.252253857012
INBRED_100,501.113684020362,51.8973749147881,415.269661221645
INBRED_109,424.857495434271,198.191954221656,448.469925742088
INBRED_141,606.526444014465,226.86916479265,532.091966714271
INBRED_2-687,337.515985508438,123.555466787127,351.425706255673
INBRED_305,278.977335920449,154.375589363363,370.29841174583
INBRED_309,424.067666383641,206.342355407192,368.047616029619
INBRED_321,336.696099234871,116.635151957816,390.3727687723
J47,533.263810543061,293.918743035522,471.054562534042
J8606,639.416383901943,303.862936351095,590.229287694405
K148,213.804791095746,131.112176125146,347.937990792554
K150,519.71927233665,166.557749113243,475.039900156659
K155,529.511701303363,228.355795397405,497.112487768664
K201,646.715413726638,171.824209990884,535.520067124658
K4,249.360132941744,149.351681866584,380.308193887659
K41,413.172962736835,184.766086006352,427.865862042878
