GenotypeID,DaysToPollen_NEmean,DaysToSilk_NEmean,RootLodgingPct_NEmean,StalkLodgingPct_NEmean,LeafAngle_NEmean,PoorGerm_NEmean,PotentialPollenContamination_NEmean,EarsPerPlant_NEmean,CobWeightGrams_NEmean,HundredKernelMassGrams_NEmean,GrainPercentMoisture_NEmean,EarLengthCM_NEmean,EarWidthCM_NEmean,EarFilledLengthCM_NEmean,KernelRowNumber_NEmean,KernelsPerRow_NEmean,PercentFill_NEmean,SouthernRustSeverityScore_NEmean,LeafAreaIndex_NEmean,LeafLengthCM_NEmean,LeafWidthCM_NEmean,PlantHeightCM_NEmean,NodesWithBraceRoots_NEmean,TillersPerPlant_NEmean,BranchesPerTassel_NEmean,TasselLengthCM_NEmean,BranchZoneLengthCM_NEmean,TasselSpikeLengthCM_NEmean,TotalGrainMassGrams_NEmean,LeafNumber_NEmean
LH191,71,71.5,0,2.5,21.8,0,0,1,20.755,26.34,8.5,14.625,4.665,13.5,16.17,29.915,92.35,2,3.915,81.625,8.4,170.75,1.33,0,9.165,32.085,8.385,23.7,858.95,13.5825
LH192,77,77,0,0,28.05,0,0,1,12.52,23.015,8.25,12.71,3.835,12.335,15.92,26.415,97.05,2,4.45,83.25,7.65,162.25,1,0,3.83,26.235,5.3,20.935,581.05,14.5825
LH193,73,76,0,2,21.45,0,0,1.125,13.915,23.18,7.85,14.21,3.79,13.795,13.835,29.415,97.15,3,3.97,75.75,7.775,150.5,1.67,0,5,29.415,7.23,22.185,820.65,14.125
LH194,75.5,75.5,50,0,18.85,0,0,1,15.675,24.2,NA,13.585,4.085,12.62,14.965,21.06,92.9,2.25,3.39,77.625,7.3,160.25,1.33,0,6.335,31.235,8.8,22.43,515.9,14.1675
LH195,76.5,77,50,1,29.3,0,0,1,12.265,22.405,7.7,14.375,4.045,13.415,14.915,27.58,93.35,1,5.07,75.125,8.775,154.25,1,0,6.5,31.95,10.35,21.6,637.8,12.9175
LH196,72,71.5,0,10,27.45,0,0,1,16.92,22.625,8.15,14.815,4,13.185,16.21,25.165,88.9,2.5,3.695,81.5,7.45,185.75,1.165,0,5.835,32.2,8.315,23.885,768.75,13.4175
LH197,73,76.5,0,1,29.35,0,0,1,16.6,21.96,8.35,14.79,3.915,14.045,15.165,28.375,94.95,0.5,3.61,84.5,7.3,204.5,1.665,0,10.165,32.4,13.38,19.015,747.5,14.4575
LH198,73,74.5,0,0,17.4,0,0,1,17,28.565,7.9,13.96,4.415,13.5,13.665,27.5,96.7,2,3.075,84.625,6.75,193.75,1.5,0.165,NA,NA,NA,NA,806.5,12.71
LH199,72,74,0,5,21.75,0,0,1,16.695,24.63,8.55,13.04,3.75,12.54,14.75,26.92,96.15,2,4.27,82.5,8.025,158.75,2.5,0,5,30.365,8.05,22.32,704.3,13.875
LH200,71,73,0,3.5,31.45,0,0,1,14.125,27.4,8.95,13.21,4,12.875,13.835,25.585,97.45,2.25,3.345,77.5,8.425,172.25,1.5,0,4,29.285,7.45,21.83,667.95,12.625
LH202,70,73,0,7.5,23.35,0,0,1,14.415,17.175,NA,12.92,3.625,11.71,14.92,27.085,90.85,2,3.735,76.75,8.475,169.25,1.165,0,5,27.37,7.13,20.23,579.85,12.25
LH204,70,73.5,0,0,21.25,0,0,1,14.66,19.22,8.5,16,3.585,14.75,12.58,29.42,92.1,1,3.735,74.5,7.35,169.75,1.165,0,6.165,33.52,7.73,25.78,518.75,13.96
LH205,71.5,73,0,2.5,24.55,0,0,1,20.56,26.15,7.8,16.5,4.42,15.83,14,32.25,95.95,2.25,2.68,76.625,6.875,178.5,2.165,0,5.335,30.335,7.55,22.785,840.95,13.5825
LH206,71.5,73,0,2.5,23.5,0,0,1,15.535,21.635,7.95,13.47,3.53,11.61,13.22,25.39,86.2,3.25,3.48,86.25,7.9,165,1.5,0,5.83,33.285,7.465,25.815,504.75,12.5425
LH208,74.5,77.5,2.5,10,44.65,0,0,1.0625,10.79,18.785,NA,13.705,3.04,12.17,13.67,22,88.8,2.25,3.64,84.5,7.9,171,1.335,0,4.665,33.75,6.4,27.35,369.85,12.29
LH210,77.5,78.5,25,0,30.55,0,0,1,8.2,35.56,8.5,12.455,3.585,11.705,12.835,18.085,94.05,2.75,3.475,79.625,8.85,198.5,1.5,0,8.83,35.53,9,26.53,540.15,14.0825
LH211,76,76,0,0,31.9,0,0,1,14.43,29.1,8.8,14.375,3.79,12.58,12.67,20.085,87.55,2,3.42,76.625,8.375,202.25,1.665,0,9,32.65,8.38,24.265,513.75,13.375
LH212Ht,74.5,75,0,87.5,30.2,0,0,1.3125,12.435,19.07,8.8,13,3.54,12.46,13.335,25.25,95.85,3.75,4.09,80.25,8.175,180.5,0.835,0,4.335,34.765,5.4,29.365,551.25,13.04
LH213,74,78,0,1,27.55,0,0,1,17.965,28.565,7.3,16,4.045,14.79,14.665,30.75,92.8,2.25,3.28,74.625,8.05,196.75,1.5,0,8.665,33.08,7.835,25.25,742.25,14.3325
LH214,76,78,0,1.5,25.85,0,0.5,1,18.32,25.11,7.85,16.375,3.875,15.29,13.415,30.83,93.4,2.5,3.735,77.75,8.9,177.5,1.665,0,3.165,30.1,4.115,25.98,686,13.375
LH215,74,76,10,1,32.4,0,0,1,14.55,29.45,NA,12.125,3.75,10,12.335,19.085,82.4,1.25,4.135,76.625,7.4,184,1.165,0,3.665,32.65,6.25,26.4,498.95,13.125
LH216,75,77,0,1,31.2,0,0,1,11.315,32.65,8.6,18.335,3.625,17.835,10.665,29,97.35,2.5,NA,73.125,8.425,175,2.335,0,6.835,35.715,9.08,26.635,690.25,13.5
LH217,71.5,72,50,0,26.55,0,0,1,12.25,25.35,7.65,16.33,3.83,15.705,11.75,25.5,96.15,2.25,3.97,74,8.975,161,1.5,0,8.5,34.73,9.1,25.635,589.5,13.0425
