Replicate,Row,Column,GenotypeID,DaysToPollen,DaysToSilk,RootLodgingPct,StalkLodgingPct,LeafAngle,PoorGerm,PotentialPollenContamination,EarsPerPlant,CobWeightGrams,HundredKernelMassGrams,GrainPercentMoisture,EarLengthCM,EarWidthCM,EarFilledLengthCM,KernelRowNumber,KernelsPerRow,PercentFill,SouthernRustSeverityScore,LeafAreaIndex,LeafLengthCM,LeafWidthCM,PlantHeightCM,ExtantLeafNumber1,NodesWithBraceRoots,TillersPerPlant,ExtantLeafNumber2,BranchesPerTassel,TasselLengthCM,BranchZoneLengthCM,TasselSpikeLengthCM,TotalGrainMassGrams
2,53,19,PHK05,59,60,0,5,?,N,N,1.375,13.71,20.53,7.8,15.42,3.58,14.08,13.33,30.67,91.3,4,2.86,59.25,7.15,176,11,1.33,0,14.67,11,32.37,7.8,24.57,612.8
2,53,20,B104,75,77,0,1,35.9,N,N,1,14.4,24.18,?,12.92,4.08,11.92,13.83,24.67,92.3,0.5,3.62,88.5,7.95,155,14,1.67,0,15.67,8.67,28.77,7.1,21.67,510
2,53,23,T146,69,73,20,0,?,N,N,1,3.8,15.32,?,9.42,2.25,9.08,10.83,21.67,96.4,0,2.43,57,7.15,117.5,10.5,1.33,0,14.33,18.33,27.37,11,16.37,177.9
2,53,24,Va85,76,79,0,95,34.3,N,N,1,16.59,25.25,8.2,17.25,3.5,15.75,13.17,30.5,91.3,0,3.4,86,7.4,206,15.5,0.67,0,15.67,5,36.3,7.4,28.9,583.5
2,53,25,NC362,77,80,0,0,22.3,N,N,1,10.74,18.59,8.9,12.42,3.08,11.75,13.5,24.33,94.6,0,2.75,87.25,6.6,203.5,15,2,0,16.67,3.33,35.2,5.47,29.73,352.6
2,53,26,SG_30A,73,75,100,0,?,N,N,1,4.33,10.76,?,10.08,3,9.33,15,20,92.6,?,?,78,5.7,?,?,6.33,0,16,23.67,35.63,13.43,22.2,203.3
2,53,27,NC364,75,78,100,0,?,N,N,1,13.42,17.67,8.6,11.92,3.75,11.67,15.33,28,97.9,0,3.2,75.5,5.1,170,15,2.33,0,16.67,11,28.83,6.2,22.63,432.4
2,53,28,CML_91,90,92,40,0,19.6,N,N,1,8.49,26.9,?,13.67,3.25,13,10,17.17,95.1,2.5,3.52,86,8.15,215,17,3.67,0,18,8.33,35.57,11.4,24.17,244.6
2,54,1,B97,75,79,0,0,41.2,N,N,1.125,15.08,28.51,8,12.92,3.42,12.25,12.83,22.33,94.8,2,3.09,70.75,9.65,165,12.5,2.33,0,14.67,8.33,32.6,7.27,25.33,548.9
2,54,2,MS221,75,76,0,0,34.8,N,N,1.125,15.78,22.7,8.3,16.58,3.58,14.75,15,26.83,89,2,4.1,64.25,7.8,158.5,14,0.33,0,13.67,8,27.93,7,20.93,699.1
2,54,3,LH196,71,71,0,0,34.4,N,N,1,16.88,23.99,8.2,14.42,4.08,12.33,16.67,26,85.5,3,3.74,81,7.3,187.5,12.5,1.33,0,14.67,5,32.83,9.23,23.6,799.1
