Rep,GenotypeID,PI,Anthesis,AnthesisGDD,Silking,SilkingGDD,ASI_NEW,ASIGDD_NEW,Env
1,R227,GetFrom2021file,77,1640.5,81,1760,-4,-119.5,NE2020
2,R227,GetFrom2021file,77,1640.5,86,1879,-9,-238.5,NE2020
1,R227,PI 531511,73,1527,80,1705.5,-7,-178.5,NE2021
2,R227,MN20_1619,74,1551,87,1887.5,-13,-336.5,NE2021
1,Tx303,Ames19327,78,1612.9,94,1962.5,-16,-349.6,MI2020
2,Tx303,Ames19327,79,1632.3,94,1962.5,-15,-330.2,MI2020
1,Tx303,Ames19327,100,1994.55,106,2153.25,-6,-158.7,MI2021
2,Tx303,Ames19327,97,1923.15,102,2043.3,-5,-120.15,MI2021
1,Tx303,GetFrom2021file,85,1857.5,87,1900,-2,-42.5,NE2020
2,Tx303,GetFrom2021file,85,1857.5,91,1969,-6,-111.5,NE2020
1,Tx303,Ames 19327,83,1792.5,89,1930,-6,-137.5,NE2021
2,Tx303,EL19_6697-2,68,1407,70,1454,-2,-47,NE2021
1,764,PI601374,59,1221.7,63,1315.4,-4,-93.7,MI2020
2,764,PI601374,58,1198.25,60,1241.35,-2,-43.0999999999999,MI2020
1,764,PI601374,78,1526.3,81,1569.4,-3,-43.1000000000001,MI2021
2,764,PI601374,75,1458.25,77,1509.25,-2,-51,MI2021
1,764,GetFrom2021file,69,1427,71,1472.5,-2,-45.5,NE2020
2,764,GetFrom2021file,67,1373.5,71,1472.5,-4,-99,NE2020
1,764,PI 601374,63,1288.5,66,1354.5,-3,-66,NE2021
2,764,MN20_1158,65,1334.5,66,1354.5,-1,-20,NE2021
1,779,PI601376,67,1282.8,70,1339.35,-3,-56.55,MI2021
2,779,PI601376,65,1240.55,65,1240.55,0,0,MI2021
1,779,PI 601376,57,1140,58,1164.5,-1,-24.5,NE2021
2,779,EL18_2142,58,1164.5,60,1217.5,-2,-53,NE2021
1,787,PI601490,70,1462.2,74,1519,-4,-56.8,MI2020
2,787,PI601490,72,1488.75,78,1612.9,-6,-124.15,MI2020
1,787,PI601490,92,1830.15,95,1879.25,-3,-49.0999999999999,MI2021
2,787,PI601490,92,1830.15,95,1879.25,-3,-49.0999999999999,MI2021
1,787,GetFrom2021file,79,1699.5,77,1640.5,2,59,NE2020
2,787,GetFrom2021file,78,1669,83,1808,-5,-139,NE2020
1,787,PI 601490,75,1574.5,77,1629,-2,-54.5,NE2021
2,787,EL19_6598-1,72,1505,75,1574.5,-3,-69.5,NE2021
1,790,PI601491,80,1554.8,80,1554.8,0,0,MI2021
2,790,PI601491,78,1526.3,81,1569.4,-3,-43.1000000000001,MI2021
1,790,PI 601491,64,1313,67,1378,-3,-65,NE2021
2,790,EL20_1736-1,65,1334.5,66,1354.5,-1,-20,NE2021
1,792,PI685984,63,1315.4,70,1462.2,-7,-146.8,MI2020
2,792,PI685984,61,1263.15,67,1403.7,-6,-140.55,MI2020
1,792,PI685984,75,1458.25,76,1481.75,-1,-23.5,MI2021
2,792,PI685984,84,1625.4,85,1645.95,-1,-20.55,MI2021
1,792,GetFrom2021file,71,1472.5,73,1533,-2,-60.5,NE2020
2,792,GetFrom2021file,73,1533,75,1587.5,-2,-54.5,NE2020
1,792,PI 685984,68,1407,60,1217.5,8,189.5,NE2021
2,792,MN20_1218,67,1378,69,1430.5,-2,-52.5,NE2021
1,793,PI601492,63,1315.4,65,1364.9,-2,-49.5,MI2020
2,793,PI601492,62,1289.4,65,1364.9,-3,-75.5,MI2020
1,793,PI601492,80,1554.8,83,1605.15,-3,-50.3500000000001,MI2021
2,793,PI601492,88,1725.55,90,1780.95,-2,-55.4000000000001,MI2021
1,793,GetFrom2021file,69,1427,72,1501,-3,-74,NE2020
2,793,GetFrom2021file,72,1501,74,1562.5,-2,-61.5,NE2020
1,793,PI 601492,65,1334.5,67,1378,-2,-43.5,NE2021
2,793,MN20_1301,64,1313,67,1378,-3,-65,NE2021
1,904,PI560317,56,1148.3,57,1172.3,-1,-24,MI2020
2,904,PI560317,56,1148.3,58,1198.25,-2,-49.95,MI2020
1,904,PI560317,83,1605.15,87,1698.6,-4,-93.4499999999998,MI2021
2,904,PI560317,76,1481.75,77,1509.25,-1,-27.5,MI2021
1,904,GetFrom2021file,66,1350.5,67,1373.5,-1,-23,NE2020
2,904,GetFrom2021file,65,1325.5,65,1325.5,0,0,NE2020
1,904,PI 560317,62,1261,63,1288.5,-1,-27.5,NE2021
2,904,MN20_1175,68,1407,70,1454,-2,-47,NE2021
1,911,PI557556,57,1172.3,59,1221.7,-2,-49.4000000000001,MI2020
2,911,PI557556,58,1198.25,62,1289.4,-4,-91.1500000000001,MI2020
1,911,PI557556,75,1458.25,76,1481.75,-1,-23.5,MI2021
2,911,PI557556,76,1481.75,77,1509.25,-1,-27.5,MI2021
