GenotypeID,Yield_NEmean,Yield_MImean,Yield_NEpredicted
PHR36,375.857370062995,423.977079359844,462.617920621451
NC356,302.302616514623,362.65696294932,347.488914016105
J8606,639.416383901943,607.72587270219,603.817995482395
PHT22,701.670755463601,727.772347735024,662.121473357404
LH123HT,504.437094746314,540.458653902592,538.824584745114
L_135,528.710777224197,381.11328024507,529.392267550762
PHW51,543.985691347965,603.806348892396,558.545748515084
NY6371,488.257813132341,477.512301048752,481.188041030507
W8555,728.996628332114,540.364457377354,676.489747710105
Mo46,449.160996618997,362.07644854944,503.953609803383
PHKE6,669.991378825339,667.585828788278,622.264276221522
LH169Ht,476.468142491608,547.043870904156,512.427035672041
LH190,596.181768853063,534.597715502992,576.945885765237
C68,372.507624479368,371.349792619992,419.876120867838
LH231,717.397062372786,565.900309262736,680.2316826448
PHW43,727.203771388466,528.849481345782,696.220552612965
DKMFD-13D,640.742933893597,589.379168998114,627.256178910602
Tr,581.341048913705,636.484983545212,535.83967483071
Pa91,550.98673308391,717.580893886868,496.61171157555
PHK74,586.739159201977,419.89084375296,540.764927940734
MS226,541.832319882792,530.723453315396,558.066597715828
Oh603,521.086436148233,330.814656451702,507.825116167405
SD42,165.36179174913,496.689367441778,316.773199381871
Oh7B,486.402620687276,585.094394967246,456.488290183785
W601S,326.365321291428,366.939390260234,346.507289436353
A548,454.072390040698,318.200010023634,420.61007489574
G22_T122,130.734667602467,259.844310438136,206.090570078945
AM0776,532.269447056757,488.762046745068,545.299894873305
PHGV6,636.086700615985,550.981284619014,551.827987085346
PHV78,579.75694110852,838.308296468456,514.244726697012
Mo44,458.783338580804,329.790392256672,450.834563593146
PHTM9,572.397499016815,518.388444285322,570.843931551632
CO117,215.231994050754,311.967176510116,244.241160820968
FBLL,690.721276012474,442.073060160558,673.246381652211
Mo28W,397.040440834465,131.063239103206,402.580323430596
J47,533.263810543061,587.837486071044,496.631263331188
MoG,385.584880678428,376.595166673986,405.157659301576
PHG29,650.883106896558,510.644887538566,608.463698094793
DK83IBI3,649.671333602815,576.624820572334,611.143799498964
ND245,412.903253144292,250.528099728254,395.282953360349
CO257,137.961412913067,333.871483279294,223.900544794746
LH206,502.761795450505,412.436785196518,545.239328317939
