GenotypeID,DaysToPollen_mean,DaysToSilk_mean,RootLodgingPct_mean,StalkLodgingPct_mean,PoorGerm_mean,PotentialPollenContamination_mean,EarsPerPlant_mean,CobWeightGrams_mean,HundredKernelMassGrams_mean,EarLengthCM_mean,EarWidthCM_mean,EarFilledLengthCM_mean,KernelRowNumber_mean,KernelsPerRow_mean,PercentFill_mean,LeafLengthCM_mean,LeafWidthCM_mean,PlantHeightCM_mean,ExtantLeafNumber1_mean,NodesWithBraceRoots_mean,TillersPerPlant_mean,ExtantLeafNumber2_mean,BranchesPerTassel_mean,TasselLengthCM_mean,BranchZoneLengthCM_mean,TasselSpikeLengthCM_mean,TotalGrainMassGrams_mean,Total.Weight.of.kernels..g._mean
H95,73.7630154703423,78.7693476114223,25.0049731717278,10.8786534487779,-9.82449538389218e-12,0.0701168939138131,1.00652844690406,12.5735095298838,22.0640919114572,13.5926756320757,3.44117477588086,12.2646311241037,13.2868845487469,23.9303148760575,90.0655488683712,79.2358281050609,8.43892260017181,166.116438774674,12.2851802847931,1.39577551011953,0.0236656029134916,13.8002745061538,10.6171596864278,31.8707960972711,8.85475817910741,22.9861806971665,432.345870519531,150.45
H99,72.1749738999319,75.0238670722334,16.5526516035309,14.3274237549588,-1.73681902193579e-12,0.0700305211354958,1.01624330365803,11.3812832953556,22.3272186147447,13.2016948601224,3.547191969769,12.1076735407328,12.0970000149989,25.6485829939251,91.6475787324921,72.449765877618,7.5140865652721,150.698209985561,11.920277209914,1.30482100184014,0.0150749907279198,13.6376516496042,7.22488167177408,32.5551687950182,7.85079185224374,24.0567687341066,452.321078665494,142.45
HB8229,76.3702522251382,79.7478099486579,20.131186322273,9.70900677994501,7.58698659453216e-12,0.0700476126660182,1.00561957249863,12.9905924984307,24.551145040804,13.1669238724731,3.71837953193335,11.8199072434942,13.3677218346621,22.8468600053225,89.7410990146965,84.1913926549292,7.81228593003033,168.059995746767,14.2608288732613,1.23184045801621,0.0108310115764761,14.5270632559682,7.15175349065231,31.4119084434935,7.78766286320622,23.1144111784536,475.681167417197,382.05
Hi26,79.6758077832161,81.853455882043,37.5198946539934,42.0117705021917,4.73521916122266e-12,0.0701383954274172,0.934642360407585,14.4041663933969,27.379920085786,13.1448606391071,3.61560131156739,10.7387439794735,12.5603304035102,18.5420139609808,83.564550303778,88.1039296070714,8.86224685646598,174.358991968834,13.5167486309339,1.39891022001848,0.0249694747167437,14.6658055617776,10.4562857518391,31.0959460658991,8.93961268997202,22.0751718448902,336.738757670503,201.7
HP301,75.6090268470095,79.0543000629151,51.1115039478938,44.2279798447395,-8.07147751413773e-12,0.070135300342617,1.10289062834677,10.1315219873714,14.4758602594353,12.8093190040339,2.89431166026224,11.232447062067,13.5275784305954,25.3109063139386,87.4365976538428,80.3419365289922,7.34202962944972,168.363097303895,13.6672768731266,1.38832923562073,0.0744634413525724,15.257760160352,18.4095633640403,33.3375471582163,13.2003034776056,20.7487837328961,306.862912291699,105.75
HP72-11,76.4967206226265,79.891552412877,44.2958960020119,20.1266831949579,-2.98025493172815e-15,0.0701837580906684,1.02615231487667,10.1837319737816,16.0954992423187,13.212222525929,3.06643131740662,11.9997306086317,12.6886868011489,26.7587474433386,90.378855610519,83.8353311619233,7.70876842027114,171.762487567644,12.4210367956239,1.23239795041211,0.0553280851449976,14.6826616137189,15.9511049015975,32.5933417529955,12.6475820157925,20.3696582626357,328.168149372099,144.5
Huanyao,73.2947712918096,75.1808482334546,32.0677410008698,51.1477013286382,-5.6869127462722e-12,0.0701618976222454,1.0102604336803,10.6271055135455,22.9267907626248,12.5898878860956,3.94999580072294,11.7284682452663,13.4802753125931,23.7230983231128,92.8219348217073,71.8991738426996,8.05235098179325,180.203102451715,13.9283532633929,1.84970388773117,0.0169339303850457,14.721095135058,19.6581655982288,31.2258969743828,9.39709766002213,21.604678806265,501.505797929556,203.6
Huobai,77.7902912047204,76.9064795212003,66.5347874627661,9.85784819114563,2.82249917882282e-13,0.0701540107280535,1.42158434089535,10.8226987852194,22.3525192517698,12.1938874000061,3.64208620050141,11.3928743518998,13.0081798614586,22.5061021127254,92.9691968413541,72.7351343363235,8.54573901481193,190.894304659941,15.2933191658534,2.43474897493921,0.0210676253802731,15.4133826862465,13.680122905941,30.7028072981673,9.62330653551435,20.5400115946571,556.961734672878,127.5
Hy,74.3633751427121,79.8556327247392,35.0678896920222,37.0370027116354,-7.36340849405437e-12,0.0702139873460452,0.992001244224242,15.9128291703602,25.8177916098367,12.1928874593119,4.05150304611333,11.0740317271652,14.8689010383544,20.2220864458403,90.5766522652552,80.9325947192861,8.25683270014787,187.825694165832,13.2548429296895,1.56713267024226,0.0258185863223148,14.3116300351254,14.346796378009,32.2862846264558,9.97584904220349,22.3529919196618,482.3648320275,317.95
I29,67.6184427205392,69.6648140908861,24.2114751219642,65.199404770814,8.19613821256837e-12,0.0700664626444074,1.04361640387001,12.5252827196309,19.2484401347634,12.1724422730483,3.35406357613198,10.9991357700644,14.9956201995203,22.4640089295005,90.3941410647996,74.9662076477344,7.83201887808339,150.828409871425,11.3550402541566,1.55118144690927,0.0429675705173771,13.6164264307051,13.3641474518575,31.8146062376484,10.062976385557,21.585699476533,349.621228374512,110
