GenotypeID,TotalGrainMassGrams_mean
TZU-CHIAO-HSI-WU_105,555.428845009106
U_123,359.826438256742
U267Y,268.354968027998
Va102,481.464702112161
Va14,331.242156387972
Va22,485.163357485686
Va26,592.884461488697
Va35,461.386481220924
Va38,578.589811219958
Va52,488.062301384411
Va59,505.194057146281
Va85,510.122175706643
Va99,576.296346237631
VaW6,407.640668223321
W117HT,407.485350420496
W153R,530.259350517435
W182B,434.912031271475
W182BN,436.819262791086
W182E,423.706143675721
W22,454.754313555177
W23,538.852059489923
W24,482.833763868597
W32,490.99617881654
W37A,500.527219565041
W552,517.824537796076
W601S,426.546450139703
W602S,476.483957130369
W603S,511.039274143788
W604S,509.826569803959
W605S,645.99585460253
W64A,521.820419797058
W802G,247.638746874118
W809G,619.339810026136
W810G,475.893837089513
W811G,609.599686991445
W812G,566.582708126118
W813G,546.815816203598
W814G,489.411095586332
W815G,549.711508993378
W816G,565.866473396342
W817G,560.944988747033
W818G,510.237294063611
W819G,619.077974980754
W821G,565.549960693074
W8304,591.301143309115
W8555,642.542038001188
W9,442.520916640805
Wf9,619.127986973858
WIL500,375.694571772916
WIL900,660.881510255997
WIL901,589.161198680901
WIL903,703.175226548789
WR3,445.36519750076
WU-TAN-TZAO,489.591642097063
WXB6,467.647064947174
YANG,364.127105834184
YE_4,495.084340595747
YE-CHI-HUNG,377.590425908196
YELLOW_3-4,352.775648523031
YING-55,445.898744272689
Yong_28,491.148446973133
Yu796_NS,488.109222124846
ZS01250,450.040819933042
ZS1791,680.566369445328
ZS635,633.738356469298
