GenotypeID,TotalGrainMassGrams_mean
PHR62,618.250313534126
PHR63,606.026715885865
PHRE1,582.196314655245
PHT10,675.176544249572
PHT11,561.094850812085
PHT22,581.036294594661
PHT47,570.82408869314
PHT55,628.258322485778
PHT60,518.815199747066
PHT69,625.363927553492
PHT77,612.675070627599
PHTD5,574.210003215848
PHTE4,586.798517682575
PHTM9,512.496792628856
PHV07,538.426756994954
PHV37,547.995255892233
PHV53,547.898076932817
PHV57,570.176820101599
PHV63,579.466783298653
PHV78,604.046917462382
PHVA9,599.411875737298
PHVJ4,582.500458805883
PHW03,515.554578830278
PHW06,487.848050301157
PHW17,570.935290733957
PHW20,485.382385953003
PHW30,585.372010001623
PHW43,611.742570370283
PHW51,552.673655573583
PHW52,654.260233712677
PHW53,551.886491410119
PHW80,637.411580725224
PHW86,572.930702428753
PHWG5,693.296557762962
PHWRZ,559.132157973273
PHZ51,578.562993201574
R101,427.445699187662
R113,414.493537990303
R134,433.823226900308
R177,429.825887653132
R181B,478.389543407026
R197,497.317288648756
R225,474.35420644649
R226,524.992870822487
R227,550.196941258799
R229,602.804847645822
R4,524.413930348298
R53,435.736523259039
R71,470.685810631423
R78,407.450927261228
RS_710,464.884676546212
S_56,308.189989789029
S8324,584.168353271963
S8326,593.78314798546
SD101,560.760079187742
SD102,607.619560746369
SD15,437.608558387985
SD40,597.881450216208
SD42,422.290725271662
SD44,521.478951443783
Seagull_Seventeen,576.677184914935
Sg_1533,334.326762894225
Sg_18,313.942396060782
SG_30A,375.36324817655
T141,383.238532165127
T146,385.788089608534
T232,506.835608328291
T242,399.045956811066
T8,404.508820908176
Tr,515.327303622398
Tx303,393.341074872567
TZU-CHIAO-HSI-WU_105,474.653897990607
U_123,400.894198060756
U267Y,444.266647903024
Va102,442.840482731493
Va14,513.466578241648
Va22,467.467089404981
Va26,527.816239232885
Va35,453.261968430733
Va38,477.576512794859
Va52,524.466618992852
Va59,560.774123020715
Va85,471.381312568669
Va99,525.639878015533
VaW6,477.708292963804
W117HT,436.313494713802
W153R,533.326483675631
W182B,431.836578437646
W182BN,441.20927272567
W182E,419.320719885973
W22,443.788844960528
W23,505.047795439128
W24,450.326937713543
W32,457.394423421297
W37A,376.480687409093
W552,530.981062843466
W601S,493.616285509935
W602S,499.999720840946
W603S,466.766551263773
W604S,514.287614628381
W605S,544.373850778247
W64A,509.596214151542
W802G,443.390172263895
W809G,628.786213497698
W810G,562.731149978783
W811G,629.607752132566
W812G,607.40088430173
W813G,519.001489812918
W814G,526.018039655166
W815G,540.806862874473
W816G,519.716128822873
W817G,520.39367719905
W818G,562.698141549162
W819G,612.94869086553
W821G,635.682995161717
W8304,574.720583915919
W8555,616.038900338803
W9,424.161335027906
Wf9,526.977292517404
WIL500,416.700028236362
WIL900,618.00954096456
WIL901,603.035909540364
WIL903,593.255542000779
WR3,493.269877382765
WU-TAN-TZAO,491.953164288288
WXB6,525.833703325403
YANG,416.026205010724
YE_4,384.687182049542
YE-CHI-HUNG,428.042123821229
YELLOW_3-4,384.207453691934
YING-55,440.322054519756
Yong_28,481.979269597178
Yu796_NS,459.614382955488
ZS01250,460.260525310274
ZS1791,663.138334495596
ZS635,613.860663624262
